Datetime,Main_Tag,hashtags,Tweet_id,post_urls,link
2017-07-22 02:22:01+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888584889452441602,https://twitter.com/TAOS_events/status/888584889452441602,http://buff.ly/2tIUi8v
2017-07-22 02:21:08+00:00,FreeDownload,"freedownload,illustration,Free,f4f,Download",888584669096157184,https://twitter.com/emma_ai_/status/888584669096157184,http://www.ac-illust.com/main/detail.php?id=574978
2017-07-22 02:16:10+00:00,FreeDownload,"iso14915,FreeDownload,Free,Giveaway",888583416467390464,https://twitter.com/blokdykg/status/888583416467390464,http://buff.ly/2uJ8Ycs
2017-07-22 02:16:01+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888583380471881733,https://twitter.com/TAOS_events/status/888583380471881733,http://buff.ly/2tJ4ayZ
2017-07-22 02:15:09+00:00,FreeDownload,"Stretching,important,woman,freedownload",888583163408257028,https://twitter.com/FitnPlus/status/888583163408257028,http://bit.ly/fnfpstretch
2017-07-22 02:14:06+00:00,FreeDownload,"DarkFantasy,BookGiveaway,Fantasy,FreeBook,FreeDownload,InstaFreebie",888582899347464193,https://twitter.com/WeeklyFantasyFx/status/888582899347464193,https://melanietomlin.com/tpr-freebies/fantasy-dark-urban-paranormal/
2017-07-22 02:11:05+00:00,FreeDownload,"AyaSugimoto,FreeDownload",888582139091996673,https://twitter.com/J_A_S_M_I_N_E_/status/888582139091996673,https://soundcloud.com/jasmine-tokyo-jpn/ayasugimoto-lil-yukichi-remix-feat-cherry-brown
2017-07-22 02:04:41+00:00,FreeDownload,"AyaSugimoto,FreeDownload",888580527023730688,https://twitter.com/J_A_S_M_I_N_E_/status/888580527023730688,https://soundcloud.com/jasmine-tokyo-jpn
2017-07-22 02:03:32+00:00,FreeDownload,"freedownload,illustration,Free,f4f,Download",888580239730724864,https://twitter.com/emma_ai_/status/888580239730724864,http://www.ac-illust.com/main/detail.php?id=438826
2017-07-22 02:02:34+00:00,FreeDownload,"hiphop,MumbleRapFree,FreeDownload,radio",888579993596338177,https://twitter.com/djbeatmasteruk/status/888579993596338177,https://www.mixcloud.com/beatmasterwright/friday-drive-on-base-fm-7th-july-2017/
2017-07-22 02:02:03+00:00,FreeDownload,"saphana,FreeDownload,Free,Giveaway",888579863015071745,https://twitter.com/blokdykg/status/888579863015071745,http://buff.ly/2uRt0Sv
2017-07-22 02:02:01+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888579855582986240,https://twitter.com/EnterpriseNews1/status/888579855582986240,http://buff.ly/2tIAZMC
2017-07-22 02:02:00+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888579853297090561,https://twitter.com/artofserviceIT/status/888579853297090561,http://buff.ly/2ucKM1a
2017-07-22 02:00:15+00:00,FreeDownload,"freedownload,newmusic,trap,hiphop,beats,freebeats,retweet",888579411095760896,https://twitter.com/YungMillerTime/status/888579411095760896,https://soundcloud.com/dat-young-miller/wave-rider
2017-07-22 01:58:00+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888578847834120192,https://twitter.com/Blogging_News1/status/888578847834120192,http://buff.ly/2thkeZs
2017-07-22 01:58:00+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888578847091851264,https://twitter.com/EmereoBooks/status/888578847091851264,http://buff.ly/2vliobJ
2017-07-22 01:56:09+00:00,FreeDownload,"freedownload,illustration,DL,Download",888578380378931200,https://twitter.com/emma_ai_/status/888578380378931200,http://www.ac-illust.com/main/profile.php?id=9e1P4JZR&area=1
2017-07-22 01:56:00+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888578341166600192,https://twitter.com/EnterpriseNews1/status/888578341166600192,http://buff.ly/2ucPImz
2017-07-22 01:54:04+00:00,FreeDownload,"vios,FreeDownload,Free,Giveaway",888577857462644736,https://twitter.com/blokdykg/status/888577857462644736,http://buff.ly/2ukMGuW
2017-07-22 01:48:05+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888576350491205633,https://twitter.com/artofserviceIT/status/888576350491205633,http://buff.ly/2tIUG7f
2017-07-22 01:46:01+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888575830686871552,https://twitter.com/MicrosoftOffic1/status/888575830686871552,http://buff.ly/2uLeOdD
2017-07-22 01:44:01+00:00,FreeDownload,"MustRead,GoodRead,Fantasy,FreeBook,FreeDownload,InstaFreebie",888575327873662976,https://twitter.com/WeeklyFantasyFx/status/888575327873662976,https://www.instafreebie.com/free/VITN2
2017-07-22 01:44:01+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888575325528965124,https://twitter.com/EmereoBooks/status/888575325528965124,http://buff.ly/2tscF6m
2017-07-22 01:40:30+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888574443605417984,https://twitter.com/MicrosoftOffic1/status/888574443605417984,http://buff.ly/2uKLeoC
2017-07-22 01:36:01+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888573315140472832,https://twitter.com/TAOS_events/status/888573315140472832,http://buff.ly/2th6XQL
2017-07-22 01:33:01+00:00,FreeDownload,"FreeDownload,illustrator,design,Download",888572557393133568,https://twitter.com/emma_ai_/status/888572557393133568,http://www.ac-illust.com/main/detail.php?id=434723
2017-07-22 01:32:01+00:00,FreeDownload,"bigdata,FreeDownload,Free,Giveaway",888572305776852992,https://twitter.com/blokdykg/status/888572305776852992,http://buff.ly/2ukoYz1
2017-07-22 01:24:01+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888570292531994624,https://twitter.com/TAOS_events/status/888570292531994624,http://buff.ly/2tIttBx
2017-07-22 01:24:00+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888570289457647617,https://twitter.com/NetworksecNews/status/888570289457647617,http://buff.ly/2tssjPn
2017-07-22 01:22:00+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888569787210764289,https://twitter.com/artofserviceIT/status/888569787210764289,http://buff.ly/2tIJsj6
2017-07-22 01:20:06+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888569306212061184,https://twitter.com/EmereoBooks/status/888569306212061184,http://buff.ly/2uKMEPV
2017-07-22 01:18:16+00:00,FreeDownload,"fantasy,FreeDownload",888568845203460096,https://twitter.com/ShadyiaAscendnt/status/888568845203460096,https://shadyiaascendant.com
2017-07-22 01:18:00+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888568780665884672,https://twitter.com/EnterpriseNews1/status/888568780665884672,http://buff.ly/2tItGok
2017-07-22 01:15:50+00:00,FreeDownload,"SOUNDCLOUD,AmericanChill,Blizoff,freeDownload",888568234512752640,https://twitter.com/bliz_off/status/888568234512752640,https://soundcloud.com/blizoff/american-chill
2017-07-22 01:15:17+00:00,FreeDownload,"NEW,NEW,SoundCloud,ElectronicMusic,House,FreeDownload,Brio",888568097895886848,https://twitter.com/brio_us/status/888568097895886848,https://soundcloud.com/brio-chvddz-502463002/brio-pump-original-mix
2017-07-22 01:08:00+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888566261734625280,https://twitter.com/NewsStorage/status/888566261734625280,http://buff.ly/2tIAan3
2017-07-22 01:02:02+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888564761276936193,https://twitter.com/MicrosoftOffic1/status/888564761276936193,http://buff.ly/2ucMi39
2017-07-22 00:58:00+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888563746448093185,https://twitter.com/TAOS_events/status/888563746448093185,http://buff.ly/2ua2O2k
2017-07-22 00:56:08+00:00,FreeDownload,"freedownload,illustration,DL,Download",888563276509986817,https://twitter.com/emma_ai_/status/888563276509986817,http://www.ac-illust.com/main/profile.php?id=9e1P4JZR&area=1
2017-07-22 00:56:02+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888563252262830080,https://twitter.com/ITItnews/status/888563252262830080,http://buff.ly/2uadFJt
2017-07-22 00:50:00+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888561733631135746,https://twitter.com/MicrosoftOffic1/status/888561733631135746,http://buff.ly/2vlpddg
2017-07-22 00:48:24+00:00,FreeDownload,"hyperlink,FreeDownload,Free,Giveaway",888561330877329408,https://twitter.com/blokdykg/status/888561330877329408,http://buff.ly/2uIr3ra
2017-07-22 00:46:01+00:00,FreeDownload,"coreos,FreeDownload,Free,Giveaway",888560729930047488,https://twitter.com/blokdykg/status/888560729930047488,http://buff.ly/2ukAYQX
2017-07-22 00:46:00+00:00,FreeDownload,"consulting,FreeDownload,Free,Giveaway",888560725916094465,https://twitter.com/Content_Managem/status/888560725916094465,http://buff.ly/2tI2MNo
2017-07-22 00:38:01+00:00,FreeDownload,"splunk,FreeDownload,Free,Giveaway",888558717079232512,https://twitter.com/Content_Managem/status/888558717079232512,http://buff.ly/2tIomRT
2017-07-22 00:35:41+00:00,FreeDownload,"FreeDownload,WeddingPlanning,allyouneed",888558130333974528,https://twitter.com/LWBmagazine/status/888558130333974528,http://www.littlewhitebooks.co.uk/request-magazine
2017-07-22 00:35:26+00:00,FreeDownload,"PUMP,SoundCloud,Brio,ElectronicMusic,House,FreeDownload",888558068321013761,https://twitter.com/Brio_CHVDDz/status/888558068321013761,https://soundcloud.com/brio-chvddz-502463002/brio-pump-original-mix
2017-07-22 00:27:52+00:00,FreeDownload,"SoundCloud,np,freedownload",888556163599540225,https://twitter.com/xWarfareex/status/888556163599540225,https://soundcloud.com/silvermatriarchy/get-it-better-silver-matriarchy?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter
2017-07-22 00:27:02+00:00,FreeDownload,"instafreebie,MustRead,GoodRead,Fantasy,YA,FreeBook,FreeDownload",888555954220015616,https://twitter.com/WeeklyFantasyFx/status/888555954220015616,https://www.instafreebie.com/free/cRTA2
2017-07-22 00:24:05+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888555210481827840,https://twitter.com/NewsStorage/status/888555210481827840,http://buff.ly/2ts24s4
